startTime,endTime,duration,PeakQ,baseflow,Time to peak discharge,Q recess,Peak concentration,Time to peak concentration,Difference between peak Q and peak C (hrs),Hysteresis Index
2019-06-04 00:15:00,2019-06-05 21:45:00,"1 day, 21:30:00",364.0,364.0,0:00:00,-23.0,4.2,0:15:00,0.25,-0.150666666666667
2019-06-05 22:45:00,2019-06-08 12:15:00,"2 days, 13:30:00",360.0,337.0,6:30:00,4.0,4.2,"1 day, 3:45:00",21.25,0.166428571428571
2019-06-08 14:00:00,2019-06-09 16:15:00,"1 day, 2:15:00",348.0,337.0,1:15:00,4.0,4.8,12:00:00,10.75,-0.0864705882352941
2019-06-10 12:30:00,2019-06-12 01:00:00,"1 day, 12:30:00",1250.0,337.0,12:00:00,210.0,386.0,10:15:00,-1.75,0.0308331156960042
2019-06-12 01:45:00,2019-06-12 04:15:00,2:30:00,541.0,541.0,0:00:00,-5.0,6.3,0:15:00,0.25,-0.0833333333333331
2019-06-12 05:00:00,2019-06-12 07:30:00,2:30:00,531.0,531.0,0:00:00,-5.0,5.8,0:15:00,0.25,-0.0555555555555554
2019-06-12 08:15:00,2019-06-12 18:45:00,10:30:00,521.0,521.0,0:00:00,-34.0,4.8,10:15:00,10.25,0.198571428571428
2019-06-12 20:30:00,2019-06-12 21:45:00,1:15:00,482.0,482.0,0:00:00,0.0,5.1,0:30:00,0.5,0.0
2019-06-13 03:45:00,2019-06-15 15:15:00,"2 days, 11:30:00",628.0,477.0,8:00:00,-14.0,21.5,6:45:00,-1.25,0.037967032967033
2019-06-15 16:30:00,2019-06-17 21:00:00,"2 days, 4:30:00",541.0,458.0,22:45:00,10.0,6.2,"1 day, 6:45:00",8.0,-0.285904255319149
2019-06-17 22:00:00,2019-06-19 12:45:00,"1 day, 14:45:00",472.0,463.0,10:45:00,-27.0,6.0,"1 day, 3:45:00",17.0,0.0638864241348714
2019-06-20 01:45:00,2019-06-23 14:45:00,"3 days, 13:00:00",762.0,431.0,16:45:00,32.0,33.2,20:15:00,3.5,-0.192953020134228
2019-06-23 15:30:00,2019-06-23 17:15:00,1:45:00,458.0,458.0,0:00:00,0.0,4.6,1:00:00,1.0,0.0
2019-06-23 18:00:00,2019-06-24 14:45:00,20:45:00,454.0,454.0,0:00:00,-27.0,5.6,9:30:00,9.5,-0.1281179138322
2019-06-24 16:15:00,2019-06-24 21:15:00,5:00:00,422.0,422.0,0:00:00,0.0,4.8,4:30:00,4.5,0.0714285714285718
2019-06-24 23:30:00,2019-06-26 09:45:00,"1 day, 10:15:00",743.0,418.0,4:30:00,64.0,1100.0,6:45:00,2.25,-0.0425025107276545
2019-06-26 11:30:00,2019-06-26 12:30:00,1:00:00,487.0,472.0,0:30:00,5.0,4.8,0:15:00,-0.25,0.270000000000001
